timestamp,action,source_path,destination_path,category,confidence,reason,renamed,duplicate_related,sent_to_review,rollback_source
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Axiom\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\the-omniscient-axiom-launcher",Axiom,high,"Active Axiom repo with clear business context and recent activity",false,false,false,"C:\Users\riley\Axiom\the-omniscient-axiom-launcher"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\axiom-site",Axiom,high,"Website repo with clear Axiom naming",false,false,false,"C:\Users\riley\Documents\GitHub\axiom-site"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-ops","C:\Users\riley\Drive-Staging\Axiom\06_Operations\axiom-ops",Axiom,high,"Operations repo with clear business context",false,false,false,"C:\Users\riley\Documents\GitHub\axiom-ops"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\GitHub\axiom-site-clean-check","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site-clean-check",Axiom,medium,"Likely website validation or working copy",false,true,true,"C:\Users\riley\Documents\GitHub\axiom-site-clean-check"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\the-omniscient-axiom-launcher","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Review\the-omniscient-axiom-launcher",Axiom,medium,"Likely duplicate or alternate working copy of active Axiom repo",false,true,true,"C:\Users\riley\Documents\New project\the-omniscient-axiom-launcher"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\axiom-site","C:\Users\riley\Drive-Staging\Axiom\07_Website\Review\axiom-site",Axiom,medium,"Likely alternate working copy of website repo",false,true,true,"C:\Users\riley\Documents\New project\axiom-site"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv","C:\Users\riley\Drive-Staging\Axiom\03_Leads\omniscient_v4_leads_2026-03-18.csv",Axiom,high,"Lead export with business naming",false,false,false,"C:\Users\riley\Downloads\omniscient_v4_leads_2026-03-18.csv"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Omniscient Setup Guide.pdf","C:\Users\riley\Drive-Staging\Axiom\06_Operations\Omniscient Setup Guide.pdf",Axiom,high,"Operational setup document for Axiom-related tooling",false,false,false,"C:\Users\riley\Downloads\Omniscient Setup Guide.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A1",School,high,"Current assignment folder with very recent activity",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A1"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A2",School,high,"Current assignment folder with very recent activity",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A2"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A3","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_A3",School,high,"Current assignment folder with very recent activity",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_A3"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_Assignment 2_INC","C:\Users\riley\Drive-Staging\School\03_Assignments\Current_Term\RileyHinsperger_Assignment_2_INC",School,high,"Current assignment bundle",true,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyHinsperger_Assignment 2_INC"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\Project_2.ACD","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\Project_2.ACD",School,medium-high,"PLC project artifact grouped with related files",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\Project_2.ACD"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\RileyPRO2.ACD","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\RileyPRO2.ACD",School,medium-high,"PLC project artifact grouped with related files",false,false,false,"C:\Users\riley\OneDrive - Conestoga College\RileyPRO2.ACD"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\OneDrive - Conestoga College\PLC Project 2 Simplified.pdf","C:\Users\riley\Drive-Staging\School\05_Projects\PLC_Project_2\PLC Project 2 Simplified.pdf",School,high,"School project PDF with duplicate also in Downloads; OneDrive copy has stronger academic context",false,true,false,"C:\Users\riley\OneDrive - Conestoga College\PLC Project 2 Simplified.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\PLC Project 2 Simplified.pdf","C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\PLC Project 2 Simplified.pdf",Archive,high,"Duplicate of school project PDF already present in OneDrive",false,true,true,"C:\Users\riley\Downloads\PLC Project 2 Simplified.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Desktop\School\Engineering Drawing","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Engineering Drawing",School,high,"Older course folder with coherent academic content",false,false,false,"C:\Users\riley\Desktop\School\Engineering Drawing"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Desktop\School\Assignment 5 Drawing Files","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 5 Drawing Files",School,high,"Related older course deliverables",false,false,false,"C:\Users\riley\Desktop\School\Assignment 5 Drawing Files"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\Assignment 1 Drawing 1.dwg","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 1 Drawing 1.dwg",School,high,"Loose past course drawing file in Documents",false,false,false,"C:\Users\riley\Documents\Assignment 1 Drawing 1.dwg"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\Assignment 2 New Drawing.dwg","C:\Users\riley\Drive-Staging\School\02_Past_Courses\Engineering_Drawing_2025\Assignment 2 New Drawing.dwg",School,high,"Loose past course drawing file in Documents",false,false,false,"C:\Users\riley\Documents\Assignment 2 New Drawing.dwg"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Desktop\Co-op Resume.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Co-op Resume.pdf",School,high,"Current co-op document",false,true,false,"C:\Users\riley\Desktop\Co-op Resume.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Co-op Resume.pdf","C:\Users\riley\Drive-Staging\Archive\05_Duplicate_Review\Co-op Resume.pdf",Archive,medium-high,"Likely duplicate of desktop copy",false,true,true,"C:\Users\riley\Downloads\Co-op Resume.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Riley_Jamesway_Cover_Letter.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Riley_Jamesway_Cover_Letter.pdf",School,high,"Co-op application document",false,false,false,"C:\Users\riley\Downloads\Riley_Jamesway_Cover_Letter.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Eclipse_Coop_Cover_Letter.pdf","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Applications\Eclipse_Coop_Cover_Letter.pdf",School,high,"Co-op application document",false,false,false,"C:\Users\riley\Downloads\Eclipse_Coop_Cover_Letter.pdf"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\resume_preview.png","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Resume_Tooling\resume_preview.png",School,medium,"Resume-generation support asset",false,false,true,"C:\Users\riley\Documents\New project\resume_preview.png"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\New project\build_coop_resume_optimized.py","C:\Users\riley\Drive-Staging\School\06_Resume_Coop_Career\Resume_Tooling\build_coop_resume_optimized.py",School,medium,"Resume-generation support script",false,false,true,"C:\Users\riley\Documents\New project\build_coop_resume_optimized.py"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Pictures\iPhone CAmera","C:\Users\riley\Drive-Staging\Personal\03_Photos_Exports\iPhone CAmera",Personal,high,"Personal media library",false,false,false,"C:\Users\riley\Pictures\iPhone CAmera"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Videos","C:\Users\riley\Drive-Staging\Personal\04_Videos_Exports\Videos",Personal,high,"Personal video exports",false,false,false,"C:\Users\riley\Videos"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\My project","C:\Users\riley\Drive-Staging\Personal\06_Creative\My project",Personal,high,"Unity creative project should stay intact",false,false,false,"C:\Users\riley\My project"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Pictures\Screenshots","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Screenshots",Archive,low,"Mixed-context screenshots require human review",false,false,true,"C:\Users\riley\Pictures\Screenshots"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\Virtual Machines","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\Virtual Machines",Archive,high,"Large VM payload unsuitable for normal Drive sync",false,false,true,"C:\Users\riley\Documents\Virtual Machines"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\SOLIDWORKS Downloads","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\SOLIDWORKS Downloads",Archive,high,"Software install media should not be mixed with user documents",false,false,false,"C:\Users\riley\Documents\SOLIDWORKS Downloads"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Desktop\School\AutoCAD 2026","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\AutoCAD 2026",Archive,high,"Software payload, not normal school document content",false,false,false,"C:\Users\riley\Desktop\School\AutoCAD 2026"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Desktop\Tor Browser","C:\Users\riley\Drive-Staging\Archive\99_Do_Not_Delete\Tor Browser",Archive,high,"Portable application folder should stay out of synced docs",false,false,false,"C:\Users\riley\Desktop\Tor Browser"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\OllamaSetup.exe","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\OllamaSetup.exe",Archive,high,"Large installer not appropriate for main Drive set",false,false,true,"C:\Users\riley\Downloads\OllamaSetup.exe"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\Docker Desktop Installer.exe","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\Docker Desktop Installer.exe",Archive,high,"Large installer not appropriate for main Drive set",false,false,true,"C:\Users\riley\Downloads\Docker Desktop Installer.exe"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Downloads\ubuntu-24.04.4-wsl-amd64.wsl","C:\Users\riley\Drive-Staging\Archive\06_Large_File_Review\ubuntu-24.04.4-wsl-amd64.wsl",Archive,high,"Large OS image not appropriate for main Drive set",false,false,true,"C:\Users\riley\Downloads\ubuntu-24.04.4-wsl-amd64.wsl"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Documents\Chrome Passwords.csv","HOLD - manual secure review only",Sensitive,high,"Credential export should not be moved into standard Drive staging",false,false,true,"C:\Users\riley\Documents\Chrome Passwords.csv"
2026-04-03T21:00:00-04:00,dry-run,"C:\Users\riley\Pictures\Screenshots\metamask recovery phrase.png","HOLD - manual secure review only",Sensitive,high,"Wallet recovery content should not be placed into cloud sync",false,false,true,"C:\Users\riley\Pictures\Screenshots\metamask recovery phrase.png"
